Course_Code,Title,Department,Level,Semester,Units,Type,Is_Elective,Directory_Status
BME 322,SYSTEMS BIOENGINEERING I,BME,300,SECOND,3,CORE,No,MISSING
BME 323,THEORY OF DESIGN FOR BIOMEDICAL DEVICES,BME,300,FIRST,2,CORE,No,MISSING
BME 328,INTRODUCTION TO CLINICAL ENGINEERING,BME,300,SECOND,2,CORE,No,MISSING
BME 331,THERMODYNAMICS OF BIOLOGICAL SYSTEMS,BME,300,FIRST,3,CORE,No,MISSING
BME 341,BIOMATERIALS ENGINEERING I,BME,300,FIRST,2,CORE,No,MISSING
BME 342,BIOMECHANICS I,BME,300,SECOND,2,CORE,No,MISSING
BME 352,INTRODUCTION TO MOLECULAR AND CELL BIOLOGY,BME,300,SECOND,2,CORE,No,MISSING
BME 362,MECHANISMS OF BIOMEDICAL DEVICES,BME,300,SECOND,2,CORE,No,MISSING
BME 411,DIGITAL CONTROL SYSTEMS FOR BME,BME,400,FIRST,3,CORE,No,MISSING
BME 413,INTRODUCTION TO BIONIC PROSTHESIS AND ORTHOTICS,BME,400,FIRST,2,CORE,No,MISSING
BME 423,SYSTEMS BIOENGINEERING II,BME,400,FIRST,3,CORE,No,MISSING
BME 431,CLINICAL REFRIDGIRATION AND AIR CONDITIONING,BME,400,FIRST,2,CORE,No,MISSING
BME 441,BIOMATERIALS ENGINEERING II,BME,400,FIRST,2,CORE,No,MISSING
BME 443,BIOMECHANICS II,BME,400,FIRST,2,CORE,No,MISSING
BME 453,INTRODUCTION TO PHARMACOLOGY,BME,400,FIRST,2,CORE,No,MISSING
BME 461,BIOMEDICAL ENGINEERING DESIGN,BME,400,FIRST,3,CORE,No,MISSING
BME 463,BIOMEDICAL WORKSHOP AND MANUFACTURING PROCESSES,BME,400,FIRST,3,CORE,No,MISSING
BME 511,ARTIFICIAL NEURAL NETWORKS FOR BIOMEDICAL APPLICATION,BME,500,FIRST,3,CORE,No,MISSING
BME 512,RELIABILITY AND SAFETY OF BIOMEDICAL EQUIPMENT,BME,500,SECOND,3,CORE,No,MISSING
BME 513,EMBEDDED SYSTEMS FOR BIOMEDICAL APPLICATION,BME,500,FIRST,2,CORE,No,MISSING
BME 515,BIO-INFORMATICS,BME,500,FIRST,2,CORE,No,MISSING
BME 516,ADVANCED BIO-SIGNAL PROCESSING,BME,500,SECOND,3,CORE,No,MISSING
BME 518,BIOMEDICAL RADIATION TECHNOLOGY AND IMAGE PROCESSING,BME,500,SECOND,3,CORE,No,MISSING
BME 521,HEAT TRANSFER IN LIVING TISSUES,BME,500,FIRST,3,CORE,No,MISSING
BME 524,BIOSAFETY AND HOSPITAL HEALTH ENGINEERING,BME,500,SECOND,2,CORE,No,MISSING
BME 532,INTRODUCTION TO CARDIOVASCULAR FLUID MECHANICS,BME,500,SECOND,3,CORE,No,MISSING
BME 552,INTRODUCTION TO GENERAL PATHOLOGY,BME,500,SECOND,2,CORE,No,MISSING
BME 553,TISSUE ENGINEERING AND REGENERATIVE MEDICINE,BME,500,FIRST,2,CORE,No,MISSING
BME 561,COMPUTER AIDED DESIGN AND ANALYSIS FOR MEDICAL DEVICES,BME,500,FIRST,2,CORE,No,MISSING
BME 571,BIOMEDICAL ENGINEERING INDUSTRIES,BME,500,FIRST,2,ELECTIVE,Yes,MISSING
BME 572,CLINICAL APPLICATION OF HUMAN COMPUTER INTERACTION,BME,500,SECOND,2,ELECTIVE,Yes,MISSING
BME 573,BIOMEDICAL TELEMETRY,BME,500,FIRST,2,ELECTIVE,Yes,MISSING
BME 574,APPLICATION OF MICROFLUIDICS IN MEDICAL TECHNOLOGY,BME,500,SECOND,2,ELECTIVE,Yes,MISSING
BME 575,INTRODUCTION TO BIO-TRANSPORT PROCESSES,BME,500,FIRST,2,ELECTIVE,Yes,MISSING
BME 576,SKELETAL TISSUE MECHANICS,BME,500,SECOND,2,ELECTIVE,Yes,MISSING
BME 590,RESEARCH PROJECT I,BME,500,FIRST,3,CORE,No,MISSING
BME 592,RESEARCH PROJECT II,BME,500,SECOND,3,CORE,No,MISSING
BMW 315,COMPUTER APPLICATION FOR BIOLOGICAL SYSTEMS,BMW,300,FIRST,2,CORE,No,MISSING
CHE 302,CHEMICAL ENGINEERING LABORATORY,CHE,300,SECOND,2,CORE,No,EXISTS
CHE 311,INTRODUCTION TO MATERIAL AND ENERGY BALANCES,CHE,300,FIRST,2,CORE,No,EXISTS
CHE 312,TRANSPORT PHENOMENA II,CHE,300,SECOND,2,CORE,No,EXISTS
CHE 313,TRANSPORT PHENOMENA I,CHE,300,FIRST,2,CORE,No,EXISTS
CHE 314,CHEMICAL KINETICS,CHE,300,SECOND,3,CORE,No,EXISTS
CHE 315,CHEMICAL ENGINEERING THERMODYNAMICS,CHE,300,FIRST,2,CORE,No,EXISTS
CHE 316,SEPERATION PROCESSES I,CHE,300,SECOND,3,CORE,No,EXISTS
CHE 317,BIOCHEMICAL ENGINEERING I,CHE,300,FIRST,3,CORE,No,EXISTS
CHE 318,SCIENCE OF MATERIALS,CHE,300,SECOND,3,CORE,No,EXISTS
CHE 319,POLYMER PROCESS ENGINEERING,CHE,300,FIRST,3,CORE,No,EXISTS
CHE 320,PROCESS MODELLING AND STIMULATION,CHE,300,SECOND,2,CORE,No,EXISTS
CHE 321,PROCESS INSTRUMENTATION,CHE,300,FIRST,2,CORE,No,EXISTS
CHE 323,PARTICLE TECHNOLOGY,CHE,300,FIRST,2,CORE,No,EXISTS
CHE 401,CHEMICAL ENGINEERING LABORATORY II,CHE,400,FIRST,2,CORE,No,MISSING
