Course_Code,Title,Department,Level,Semester,Units,Type,Is_Elective,Directory_Status,Priority,Category
AFE 128,IGBO LANGUAGE I,AFE,100,SECOND,1,CORE,No,MISSING,LOW - Well Covered,Well Represented
AFE 202,FOOD PRODUCTION,AFE,200,SECOND,1,CORE,No,EXISTS,LOW - Well Covered,Well Represented
AFE 203,FRENCH LANGUAGE II,AFE,200,FIRST,1,CORE,No,EXISTS,LOW - Well Covered,Well Represented
AFE 207,IGBO LANGUAGE II,AFE,200,FIRST,1,CORE,No,EXISTS,LOW - Well Covered,Well Represented
AFE 301,PRACTICAL ENTREPRENEURSHIP,AFE,300,FIRST,1,CORE,No,MISSING,LOW - Well Covered,Well Represented
ANA 225,HUMAN ANATOMY I,ANA,200,FIRST,2,CORE,No,MISSING,HIGH - Foundation Courses,Foundation/Support
ANA 226,HUMAN ANATOMY II,ANA,200,SECOND,2,CORE,No,MISSING,HIGH - Foundation Courses,Foundation/Support
BCH 204,GENERAL BIOCHEMISTRY II,BCH,300,SECOND,2,CORE,No,MISSING,HIGH - Foundation Courses,Foundation/Support
BCH 209,GENERAL BIOCHEMISTRY I,BCH,300,FIRST,2,CORE,No,MISSING,HIGH - Foundation Courses,Foundation/Support
BIO 101,GENERAL BIOLOGY I,BIO,100,FIRST,2,CORE,No,EXISTS,HIGH - Foundation Courses,Foundation/Support
BIO 102,GENERAL BIOLOGY II,BIO,100,SECOND,2,CORE,No,MISSING,HIGH - Foundation Courses,Foundation/Support
BIO 107,GENERAL PRACTICAL BIOLOGY I,BIO,100,FIRST,1,CORE,No,MISSING,HIGH - Foundation Courses,Foundation/Support
BIO 108,GENERAL PRACTICAL BIOLOGY,BIO,100,SECOND,1,CORE,No,MISSING,HIGH - Foundation Courses,Foundation/Support
BME 102,INTRODUCTION TO BIOMEDICAL ENGINEERING,BME,100,FIRST,2,CORE,No,MISSING,CRITICAL - Complete Program Missing,Missing Program
BME 311,MEASUREMENT AND INSTRUMENTATION,BME,300,FIRST,2,CORE,No,MISSING,CRITICAL - Complete Program Missing,Missing Program
BME 312,BIOLOGICAL SYSTEMS CONTROL AND MODELLING,BME,300,SECOND,2,CORE,No,MISSING,CRITICAL - Complete Program Missing,Missing Program
BME 313,BIOMEDICAL ELECTRONICS ENGINEERING I,BME,300,FIRST,2,CORE,No,MISSING,CRITICAL - Complete Program Missing,Missing Program
BME 314,BIOMEDICAL ELECTRONICS ENGINEERING II,BME,300,SECOND,2,CORE,No,MISSING,CRITICAL - Complete Program Missing,Missing Program
BME 317,BIOMEDICAL ENGINEERING LAB I,BME,300,FIRST,2,CORE,No,MISSING,CRITICAL - Complete Program Missing,Missing Program
